epoch,AUC
0,0.6035521626472473
50,1.6201739311218262
100,2.5628459453582764
150,2.239903688430786
200,1.74605393409729
250,1.3898977041244507
300,1.9091954231262207
350,1.8560073375701904
400,1.5993728637695312
450,1.6325170993804932
500,1.1814384460449219
550,1.6174384355545044
600,1.6564522981643677
650,1.5792819261550903
700,1.448846697807312
750,1.0825117826461792
800,1.829947590827942
850,2.2862823009490967
900,1.6953744888305664
950,1.7976410388946533
1000,1.7081024646759033
